tpIdent,biomassTotal (mg/ha),forestType,forestType_group,ref_burn,crownBurnSeverity,mean_biomass_ref (mg/ha),biomassLoss (mg/ha)
T-043-04,66.52918375914784,Black spruce,Spruce-Fir,burn,4,84.2624947186815,17.733310959533654
T-043-05,51.50905448381897,Black spruce,Spruce-Fir,burn,4,84.2624947186815,32.753440234862524
T-043-06,49.19575667603597,Paper birch,Aspen-Birch,burn,3,77.30818869209546,28.112432016059486
T-043-07,41.4384601183842,Northern white-cedar,Spruce-Fir,burn,4,142.16148412393122,100.72302400554702
T-044-01,71.92460248931346,Black spruce,Spruce-Fir,burn,4,84.2624947186815,12.337892229368038
T-044-02,33.129924035285406,Black spruce,Spruce-Fir,burn,4,84.2624947186815,51.13257068339609
T-050-01,16.667830471553003,Jack pine,White-Red-Jack Pine,burn,4,97.90814256509401,81.24031209354101
T-051-02,125.85616599158428,Jack pine,White-Red-Jack Pine,burn,4,97.90814256509401,-27.948023426490266
T-053-01,74.04536830278863,Paper birch,Aspen-Birch,burn,4,77.30818869209546,3.2628203893068246
T-053-02,71.66784258966285,Jack pine,White-Red-Jack Pine,burn,4,97.90814256509401,26.240299975431157
T-053-04,70.98688647542069,Jack pine,White-Red-Jack Pine,burn,4,97.90814256509401,26.92125608967332
T-053-05,45.25437783712537,Jack pine,White-Red-Jack Pine,burn,4,97.90814256509401,52.65376472796864
T-053-06,54.64382553395596,Jack pine,White-Red-Jack Pine,burn,4,97.90814256509401,43.26431703113805
T-053-07,84.5162831646123,Jack pine,White-Red-Jack Pine,burn,4,97.90814256509401,13.391859400481707
T-100-04,94.59729543734319,Jack pine,White-Red-Jack Pine,burn,1,97.90814256509401,3.3108471277508187
T-100-90,108.28566639058687,Jack pine,White-Red-Jack Pine,burn,1,97.90814256509401,-10.377523825492858
T-101-01,49.79438768272155,Paper birch,Aspen-Birch,burn,3,77.30818869209546,27.513801009373907
T-101-02,14.69013596203966,Balsam fir,Spruce-Fir,burn,4,64.29046238172457,49.600326419684905
T-101-03,61.55833661000462,Black spruce,Spruce-Fir,burn,3,84.2624947186815,22.70415810867687
T-101-04,65.43831712917647,Balsam fir,Spruce-Fir,burn,4,64.29046238172457,-1.1478547474519019
T-101-05,125.43804199685994,Northern white-cedar,Spruce-Fir,burn,3,142.16148412393122,16.72344212707128
T-101-09,71.81593822986429,Paper birch,Aspen-Birch,burn,3,77.30818869209546,5.492250462231169
T-102-03,78.453165627924065,Jack pine,White-Red-Jack Pine,burn,4,97.90814256509401,19.454976937169945
T-102-04,103.82583845521387,Jack pine,White-Red-Jack Pine,burn,4,97.90814256509401,-5.917695890119859
T-102-05,135.48240794848343,Jack pine,White-Red-Jack Pine,burn,4,97.90814256509401,-37.57426538338942
T-102-06,173.2063296911659,Jack pine,White-Red-Jack Pine,burn,4,97.90814256509401,-75.2981871260719
T-104-02,43.65265703836301,Paper birch,Aspen-Birch,burn,4,77.30818869209546,33.655531653732446
T-104-04,38.531130768678416,Black spruce,Spruce-Fir,burn,4,84.2624947186815,45.73136395000308
T-110-01,63.26678176662823,Paper birch,Aspen-Birch,burn,4,77.30818869209546,14.041406925467228
T-110-02,45.03363487106269,Paper birch,Aspen-Birch,burn,4,77.30818869209546,32.27455382103277
T-111-02,156.846739596492,Aspen,Aspen-Birch,burn,3,85.39704730330179,-71.44969229319021
T-111-03,122.54231719135322,Eastern white pine,White-Red-Jack Pine,burn,3,92.77056945183722,-29.771747739516
T-111-04,23.16924406559884,Balsam fir,Spruce-Fir,burn,3,64.29046238172457,41.12121831612573
T-112-01,85.05537555793575,Other pine / hardwood,Oak-Pine,burn,3,217.50807221029626,132.45269665236052
T-112-02,93.42411682205926,Jack pine,White-Red-Jack Pine,burn,3,97.90814256509401,4.484025743034749
TB006-12,108.60786951579378,Jack pine,White-Red-Jack Pine,burn,3,97.90814256509401,-10.69972695069977
